Cal Year,Cal Quarter,Cal Month,Cal Month #,Province,Market,Media Type,Media Sub Type,Ad Spend
2019,Q2,April,04,Ontario,London - Woodstock - Wingham,Linear Television,Specialty TV,323130
2020,Q4,October,10,New Brunswick,St. John - Fredericton - Moncton,Linear Television,Specialty TV,34691
2020,Q1,January,01,Ontario,Toronto - Hamilton - Niagara Falls,Radio,Other,34000
2021,Q4,November,11,Ontario,Kenora,Out of Home,Other,647
2019,Q1,February,02,Quebec,Sherbrooke,Linear Television,Conventional TV,314607
2022,Q2,June,06,Multi-Market,Multi-Market,Newspapers,Business Journals,10685
2022,Q4,December,12,British Columbia,Terrace - Kitimat - Prince Rupert,Newspapers,Community Newspaper,77
2019,Q1,February,02,Ontario,Toronto - Hamilton - Niagara Falls,Magazines,Trade Magazines,106209
2022,Q1,February,02,New Brunswick,St. John - Fredericton - Moncton,Linear Television,Spot TV,32826
2021,Q3,September,09,Quebec,Riviere Du Loup,Linear Television,Spot TV,7587
2019,Q2,May,05,Saskatchewan,Swift Current,Radio,Spot Radio,22531
2023,Q1,February,02,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Linear Television,Specialty TV,4057
2020,Q3,September,09,National,National,Digital,Mobile Ad Network/Ad Exchange,1445459
2022,Q2,June,06,Ontario,Barrie - Orillia,Newspapers,Dailies,2633
2020,Q2,May,05,Ontario,Kenora,Out of Home,Other,588
2019,Q4,October,10,Ontario,Toronto - Hamilton - Niagara Falls,Radio,Spot Radio,10784224
2020,Q1,March,03,National,National,Magazines,Newspaper Magazines,96388
2019,Q3,July,07,National,National,Digital,Pure Play - Internet Radio,1935881
2020,Q3,September,09,Ontario,London - Woodstock - Wingham,Newspapers,Dailies,29785
2023,Q2,June,06,Ontario,Sudbury - Timmins - North Bay,Linear Television,Conventional TV,448716
2019,Q3,September,09,Quebec,Quebec City - Levis,Linear Television,Specialty TV,131895
2023,Q3,August,08,Alberta,Calgary - Lethbridge,Out of Home,Billboards,69541
2021,Q2,April,04,Saskatchewan,Yorkton,Newspapers,Community Newspaper,504
2021,Q2,May,05,Alberta,Medicine Hat,Linear Television,Conventional TV,25391
2022,Q4,December,12,Yukon,Whitehorse,Digital,Print - Digital,1176
2019,Q1,February,02,Multi-Market,Ottawa - Gatineau,Out of Home,Billboards,47385
2020,Q1,January,01,Ontario,Sudbury - Timmins - North Bay,Newspapers,Dailies,12119
2021,Q4,December,12,British Columbia,Terrace - Kitimat - Prince Rupert,Newspapers,Community Newspaper,6951
2018,Q4,November,11,Ontario,Toronto - Hamilton - Niagara Falls,Newspapers,Dailies,257343
2020,Q3,September,09,Multi-Market,Ottawa - Gatineau,Radio,Other,14375
2022,Q3,August,08,Prince Edward Island,Charlottetown,Linear Television,Conventional TV,4501
2022,Q4,October,10,National,National,Linear Television,Conventional TV,75650824
2018,Q4,October,10,Ontario,Toronto - Hamilton - Niagara Falls,Radio,Ad Sales House,71
2021,Q4,December,12,National,National,Digital,Ad Tech / Fees,4015740
2021,Q3,September,09,Alberta,Red Deer,Linear Television,Specialty TV,5966
2021,Q4,November,11,British Columbia,Prince George,Linear Television,Conventional TV,39178
2023,Q3,August,08,Multi-Market,Multi-Market,Out of Home,Events,189055
2020,Q3,July,07,Ontario,Sudbury - Timmins - North Bay,Linear Television,Spot TV,5069
