Cal Year,Cal Quarter,Cal Month,Cal Month #,Province,Market,Media Type,Media Sub Type,Ad Spend
2019,Q2,June,06,National,National,Digital,Ad Network/Ad Exchange,73668872
2022,Q4,November,11,British Columbia,Vancouver - Victoria,Newspapers,Community Newspaper,310804
2023,Q2,May,05,Alberta,Lloydminster,Radio,Spot Radio,219104
2022,Q1,March,03,Ontario,Toronto - Hamilton - Niagara Falls,Radio,Other,174581
2019,Q4,December,12,Quebec,Chaleur Bay - Carleton,Linear Television,Specialty TV,16601
2020,Q2,June,06,Alberta,Medicine Hat,Linear Television,Spot TV,18058
2021,Q2,June,06,National,National,Linear Television,Conventional TV,49453961
2021,Q4,November,11,Ontario,Peterborough - Belleville - Trenton,Linear Television,Specialty TV,20256
2019,Q1,March,03,Quebec,Montreal - Laval,Magazines,Trade Magazines,92624
2019,Q2,June,06,Saskatchewan,Regina - Moose Jaw,Linear Television,Spot TV,194172
2021,Q4,November,11,Saskatchewan,Regina - Moose Jaw,Linear Television,Conventional TV,160972
2019,Q1,January,01,Ontario,Sudbury - Timmins - North Bay,Newspapers,Community Newspaper,30219
2018,Q1,February,02,National,National,Out of Home,Ad Sales House,28248
2018,Q3,July,07,National,National,Newspapers,Ad Sales House,4200
2022,Q1,January,01,Ontario,London - Woodstock - Wingham,Newspapers,Community Newspaper,66126
2018,Q1,March,03,Ontario,Kingston,Newspapers,Community Newspaper,39025
2022,Q4,October,10,Ontario,London - Woodstock - Wingham,Radio,Spot Radio,414025
2020,Q1,March,03,Ontario,London - Woodstock - Wingham,Newspapers,Dailies,46137
2020,Q4,November,11,National,National,Magazines,Ad Sales House,21904
2022,Q2,June,06,Saskatchewan,Regina - Moose Jaw,Linear Television,Spot TV,74202
2020,Q1,February,02,Quebec,Quebec City - Levis,Newspapers,Community Newspaper,137036
2020,Q1,January,01,Ontario,Kenora,Newspapers,Community Newspaper,1415
2018,Q2,May,05,Ontario,Toronto - Hamilton - Niagara Falls,Magazines,Trade Magazines,105557
2020,Q2,May,05,Saskatchewan,Swift Current,Linear Television,Conventional TV,381
2019,Q2,June,06,British Columbia,Vancouver - Victoria,Linear Television,Spot TV,3323811
2019,Q2,May,05,Multi-Market,Multi-Market,Out of Home,Street Furniture/Retail,1441652
2022,Q2,May,05,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Conventional TV,180053
2018,Q1,March,03,Newfoundland and Labrador,St. Johns - Corner Brook,Radio,Ad Sales House,2027
2019,Q2,April,04,Ontario,Peterborough - Belleville - Trenton,Radio,Spot Radio,423644
2019,Q2,June,06,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Specialty TV,47551
2018,Q4,November,11,Multi-Market,Multi-Market,Out of Home,Transit,103961
2023,Q1,January,01,Saskatchewan,Prince Albert,Radio,Spot Radio,20592
2021,Q1,January,01,Manitoba,Winnipeg - Brandon,Linear Television,Specialty TV,103287
2021,Q2,May,05,British Columbia,Vancouver - Victoria,Newspapers,Dailies,77915
2023,Q3,September,09,National,National,Linear Television,Conventional TV,52564988
2018,Q4,December,12,National,National,Newspapers,Other,1509
2019,Q4,October,10,Ontario,Toronto - Hamilton - Niagara Falls,Linear Television,Conventional TV,20100441
2022,Q2,May,05,Newfoundland and Labrador,St. Johns - Corner Brook,Newspapers,Community Newspaper,16736
2019,Q4,December,12,National,National,Magazines,Trade Magazines,677714
2020,Q1,February,02,Alberta,Edmonton,Digital,Print - Digital,4118
2019,Q4,October,10,Alberta,Medicine Hat,Out of Home,Billboards,1440547
2019,Q4,October,10,Ontario,Sudbury - Timmins - North Bay,Newspapers,Community Newspaper,59200
2018,Q1,March,03,Saskatchewan,Swift Current,Linear Television,Specialty TV,8
2023,Q3,September,09,New Brunswick,St. John - Fredericton - Moncton,Linear Television,Specialty TV,33557
2023,Q2,May,05,Saskatchewan,Saskatoon,Radio,Spot Radio,134235
2023,Q2,May,05,Prince Edward Island,Charlottetown,Newspapers,Community Newspaper,8067
2021,Q2,June,06,Quebec,Saguenay,Out of Home,Billboards,5248
2019,Q2,June,06,Ontario,Sault Sainte Marie,Linear Television,Specialty TV,2172
2020,Q4,November,11,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Linear Television,Spot TV,59029
2021,Q2,June,06,Ontario,London - Woodstock - Wingham,Linear Television,Conventional TV,116615
2018,Q4,November,11,Alberta,Red Deer,Newspapers,Community Newspaper,19835
2023,Q3,July,07,Saskatchewan,Saskatoon,Linear Television,Spot TV,111099
2019,Q4,October,10,Ontario,Toronto - Hamilton - Niagara Falls,Digital,Pure Play - Internet Radio,2250
2018,Q3,September,09,Ontario,London - Woodstock - Wingham,Newspapers,Community Newspaper,48225
2021,Q1,March,03,British Columbia,Kelowna - Okanagan Valley - Kamloops,Radio,Spot Radio,415460
2019,Q2,May,05,Saskatchewan,Saskatoon,Newspapers,Dailies,2883
2022,Q4,November,11,Saskatchewan,Yorkton,Radio,Spot Radio,25283
2019,Q1,February,02,National,National,Magazines,Other,3971
2022,Q2,June,06,Ontario,Sudbury - Timmins - North Bay,Linear Television,Spot TV,10046
2019,Q4,October,10,Manitoba,Winnipeg - Brandon,Magazines,Trade Magazines,1000
2019,Q4,December,12,Saskatchewan,Yorkton,Linear Television,Specialty TV,11583
2019,Q3,September,09,Newfoundland and Labrador,St. Johns - Corner Brook,Newspapers,Community Newspaper,18054
2019,Q1,February,02,Ontario,Windsor,Newspapers,Community Newspaper,30168
2022,Q1,February,02,Alberta,Medicine Hat,Linear Television,Specialty TV,928
2021,Q2,June,06,Saskatchewan,Yorkton,Linear Television,Spot TV,1777
2022,Q2,May,05,Ontario,Barrie - Orillia,Out of Home,Other,132
2021,Q3,September,09,National,National,Magazines,Trade Magazines,977998
2018,Q4,October,10,British Columbia,Dawson Creek,Radio,Spot Radio,49426
2022,Q3,September,09,Ontario,Thunder Bay,Radio,Spot Radio,100300
2022,Q4,December,12,Nova Scotia,Halifax - Dartmouth,Radio,Spot Radio,234798
2021,Q2,June,06,Alberta,Edmonton,Newspapers,Dailies,52679
2020,Q1,March,03,National,National,Magazines,Other,42435
2019,Q3,July,07,National,National,Out of Home,Transit,2529
2022,Q3,August,08,Multi-Market,Multi-Market,Out of Home,Ad Sales House,210575
2022,Q3,August,08,Alberta,Edmonton,Linear Television,Spot TV,843832
2019,Q1,January,01,Quebec,Rouyn - Noranda - Val D'Or,Linear Television,Specialty TV,13664
2019,Q2,June,06,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Street Furniture/Retail,173253
2018,Q4,November,11,Ontario,London - Woodstock - Wingham,Newspapers,Community Newspaper,42958
2021,Q2,May,05,Ontario,Pembroke - Petawawa,Newspapers,Community Newspaper,23106
2018,Q2,June,06,Ontario,Sault Sainte Marie,Radio,Spot Radio,110861
2019,Q4,November,11,Quebec,Trois -Rivieres - Shawinigan,Newspapers,Community Newspaper,36517
2022,Q1,January,01,Nova Scotia,Halifax - Dartmouth,Newspapers,Dailies,378
2022,Q4,October,10,Ontario,Windsor,Linear Television,Spot TV,23749
2019,Q4,October,10,Ontario,London - Woodstock - Wingham,Linear Television,Spot TV,72912
2019,Q2,April,04,Alberta,Medicine Hat,Newspapers,Community Newspaper,1897
2023,Q3,July,07,Alberta,Medicine Hat,Newspapers,Community Newspaper,11274
2021,Q1,February,02,Multi-Market,Ottawa - Gatineau,Newspapers,Business Journals,59414
2019,Q3,July,07,Prince Edward Island,Charlottetown,Linear Television,Conventional TV,13992
2018,Q4,December,12,Multi-Market,Multi-Market,Out of Home,Events,75959
2019,Q4,December,12,British Columbia,Kelowna - Okanagan Valley - Kamloops,Linear Television,Conventional TV,47370
2021,Q4,October,10,Ontario,Peterborough - Belleville - Trenton,Linear Television,Conventional TV,80123
2022,Q3,August,08,Saskatchewan,Saskatoon,Radio,Spot Radio,125272
2021,Q2,April,04,National,National,Magazines,Ad Sales House,61765
2021,Q1,February,02,British Columbia,Vancouver - Victoria,Digital,Pure Play - Content,588
2020,Q4,December,12,National,National,Newspapers,Other,82804
2023,Q3,September,09,Quebec,Quebec City - Levis,Linear Television,Specialty TV,35682
2022,Q1,January,01,Ontario,Sault Sainte Marie,Newspapers,Community Newspaper,18686
2018,Q1,March,03,Ontario,Kingston,Radio,Spot Radio,299304
2020,Q4,December,12,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Newspapers,Community Newspaper,11874
2019,Q1,January,01,Manitoba,Winnipeg - Brandon,Linear Television,Conventional TV,547558
2023,Q3,August,08,Ontario,Windsor,Radio,Spot Radio,315197
2022,Q1,February,02,Multi-Market,Multi-Market,Linear Television,Conventional TV,2609340
2021,Q1,March,03,Multi-Market,Ottawa - Gatineau,Magazines,Trade Magazines,18348
2019,Q3,September,09,Saskatchewan,Prince Albert,Radio,Spot Radio,81329
2022,Q4,November,11,Manitoba,Winnipeg - Brandon,Radio,Spot Radio,659132
2020,Q3,September,09,Saskatchewan,Regina - Moose Jaw,Linear Television,Conventional TV,187639
2023,Q2,June,06,Ontario,Pembroke - Petawawa,Newspapers,Community Newspaper,1878
2018,Q4,November,11,Ontario,Toronto - Hamilton - Niagara Falls,Newspapers,Other,9647
2021,Q1,March,03,Alberta,Lloydminster,Newspapers,Community Newspaper,5848
2020,Q2,April,04,Ontario,Peterborough - Belleville - Trenton,Radio,Spot Radio,53158
2022,Q2,May,05,Quebec,Saguenay,Linear Television,Specialty TV,12873
2022,Q3,September,09,Prince Edward Island,Charlottetown,Radio,Spot Radio,75138
2021,Q3,August,08,Quebec,Sherbrooke,Linear Television,Specialty TV,12853
2019,Q1,March,03,Alberta,Edmonton,Magazines,Consumer Magazines,6906
2021,Q4,December,12,National,National,Digital,Pure Play - Internet Radio,5027735
2019,Q4,October,10,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Events,20000
2022,Q3,September,09,British Columbia,Kelowna - Okanagan Valley - Kamloops,Linear Television,Conventional TV,5121
2020,Q1,January,01,Ontario,Peterborough - Belleville - Trenton,Linear Television,Specialty TV,12961
2021,Q3,July,07,Saskatchewan,Swift Current,Newspapers,Community Newspaper,438
2019,Q3,September,09,Quebec,Sherbrooke,Newspapers,Community Newspaper,40998
2023,Q1,February,02,National,National,Magazines,Consumer Magazines,554553
2020,Q3,August,08,Alberta,Lloydminster,Linear Television,Specialty TV,5173
2021,Q3,July,07,Quebec,Rouyn - Noranda - Val D'Or,Newspapers,Community Newspaper,8560
2022,Q4,December,12,Saskatchewan,Saskatoon,Out of Home,Billboards,12152
2019,Q4,October,10,Quebec,Montreal - Laval,Newspapers,Dailies,497870
2021,Q4,October,10,Quebec,Montreal - Laval,Magazines,Consumer Magazines,32059
2022,Q4,October,10,Quebec,Quebec City - Levis,Linear Television,Conventional TV,149217
2021,Q2,June,06,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Spot TV,11174
2022,Q1,February,02,Ontario,London - Woodstock - Wingham,Linear Television,Specialty TV,62533
2020,Q1,March,03,Nova Scotia,Sydney - Glace Bay,Linear Television,Specialty TV,4582
2021,Q2,May,05,Ontario,Sudbury - Timmins - North Bay,Linear Television,Spot TV,20918
2023,Q1,February,02,Alberta,Edmonton,Newspapers,Dailies,76498
2020,Q2,June,06,Multi-Market,Ottawa - Gatineau,Linear Television,Specialty TV,86533
2018,Q2,April,04,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Newspapers,Dailies,73409
2022,Q4,November,11,Alberta,Calgary - Lethbridge,Linear Television,Spot TV,2005264
2021,Q4,November,11,Quebec,Quebec City - Levis,Magazines,Trade Magazines,15611
2022,Q1,March,03,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Other,21605
2019,Q2,June,06,Quebec,Chaleur Bay - Carleton,Linear Television,Spot TV,969
2019,Q2,April,04,Manitoba,Winnipeg - Brandon,Newspapers,Community Newspaper,15163
2019,Q4,December,12,Alberta,Medicine Hat,Radio,Spot Radio,185805
2020,Q3,July,07,Ontario,Kingston,Linear Television,Spot TV,8225
2022,Q4,December,12,Quebec,Sherbrooke,Linear Television,Specialty TV,6379
2021,Q3,August,08,Saskatchewan,Swift Current,Linear Television,Specialty TV,0
2023,Q3,September,09,Quebec,Rouyn - Noranda - Val D'Or,Linear Television,Spot TV,6767
2018,Q1,February,02,Saskatchewan,Saskatoon,Linear Television,Specialty TV,156019
2020,Q4,December,12,Nova Scotia,Halifax - Dartmouth,Linear Television,Spot TV,85898
2022,Q4,November,11,Ontario,Kingston,Linear Television,Specialty TV,80057
2020,Q1,March,03,Ontario,Kingston,Linear Television,Spot TV,14398
2023,Q3,August,08,Alberta,Medicine Hat,Linear Television,Specialty TV,1743
2022,Q1,January,01,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Linear Television,Spot TV,11986
2022,Q1,February,02,National,National,Newspapers,Ad Sales House,56680
2018,Q1,January,01,New Brunswick,St. John - Fredericton - Moncton,Radio,Spot Radio,258105
2018,Q3,July,07,Ontario,Thunder Bay,Newspapers,Community Newspaper,32455
2019,Q2,April,04,Alberta,Lloydminster,Linear Television,Conventional TV,9407
2020,Q1,February,02,Ontario,Barrie - Orillia,Radio,Spot Radio,399428
2019,Q2,June,06,Ontario,Windsor,Linear Television,Specialty TV,34082
2019,Q1,March,03,Quebec,Saguenay,Linear Television,Conventional TV,191625
2019,Q1,January,01,Saskatchewan,Yorkton,Linear Television,Specialty TV,8061
2019,Q1,March,03,Quebec,Chaleur Bay - Carleton,Radio,Spot Radio,35986
2020,Q1,January,01,Ontario,Sault Sainte Marie,Radio,Spot Radio,71211
2019,Q1,March,03,British Columbia,Vancouver - Victoria,Digital,Pure Play - Internet Radio,500
2019,Q3,July,07,Alberta,Lloydminster,Newspapers,Community Newspaper,5017
2018,Q3,July,07,Alberta,Lloydminster,Linear Television,Spot TV,26526
2021,Q1,February,02,Multi-Market,Ottawa - Gatineau,Out of Home,Billboards,12700
2020,Q3,August,08,Saskatchewan,Regina - Moose Jaw,Linear Television,Conventional TV,145685
2022,Q4,December,12,Prince Edward Island,Charlottetown,Linear Television,Specialty TV,4670
2018,Q3,August,08,Saskatchewan,Prince Albert,Linear Television,Spot TV,3851
2021,Q2,April,04,Quebec,Montreal - Laval,Linear Television,Spot TV,1329534
2019,Q3,July,07,Ontario,Windsor,Radio,Spot Radio,561361
2018,Q3,September,09,Manitoba,Winnipeg - Brandon,Newspapers,Dailies,110261
2020,Q1,February,02,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Linear Television,Conventional TV,831973
2023,Q2,May,05,Quebec,Montreal - Laval,Radio,Spot Radio,3464318
2019,Q1,February,02,British Columbia,Dawson Creek,Newspapers,Community Newspaper,3737
2021,Q4,October,10,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Linear Television,Specialty TV,451
2018,Q4,October,10,British Columbia,Vancouver - Victoria,Digital,Pure Play - Content,4494
2022,Q2,April,04,Alberta,Red Deer,Newspapers,Dailies,7831
2018,Q2,June,06,British Columbia,Dawson Creek,Radio,Spot Radio,44916
2023,Q2,May,05,Manitoba,Winnipeg - Brandon,Newspapers,Dailies,86225
2018,Q3,August,08,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Conventional TV,5897
2023,Q1,March,03,British Columbia,Kelowna - Okanagan Valley - Kamloops,Radio,Spot Radio,218804
2020,Q4,October,10,Manitoba,Winnipeg - Brandon,Radio,Other,40928
2018,Q3,July,07,Multi-Market,Multi-Market,Newspapers,Ad Sales House,1018
2019,Q4,November,11,Saskatchewan,Prince Albert,Linear Television,Spot TV,7347
2018,Q3,August,08,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Street Furniture/Retail,87241
2018,Q4,October,10,Quebec,Quebec City - Levis,Linear Television,Conventional TV,862944
2019,Q3,August,08,Saskatchewan,Regina - Moose Jaw,Out of Home,Billboards,38276
2022,Q2,May,05,National,National,Digital,Ad Tech / Fees,3480529
2022,Q3,July,07,Prince Edward Island,Charlottetown,Newspapers,Dailies,678
2019,Q2,June,06,Multi-Market,Multi-Market,Out of Home,Events,111197
2022,Q2,April,04,National,National,Linear Television,Specialty TV,79552050
2018,Q2,May,05,Ontario,Barrie - Orillia,Newspapers,Dailies,12430
2019,Q1,March,03,Alberta,Medicine Hat,Linear Television,Specialty TV,31487
2022,Q2,May,05,Multi-Market,Multi-Market,Newspapers,Ad Sales House,9614
2020,Q1,January,01,Multi-Market,Multi-Market,Radio,Spot Radio,115874
2018,Q3,July,07,Quebec,Saguenay,Digital,Print - Digital,71
2021,Q1,January,01,Ontario,London - Woodstock - Wingham,Newspapers,Community Newspaper,18864
2023,Q2,April,04,Quebec,Saguenay,Linear Television,Specialty TV,24312
2021,Q4,November,11,Quebec,Trois -Rivieres - Shawinigan,Radio,Spot Radio,105218
2019,Q3,July,07,Ontario,Barrie - Orillia,Radio,Network Radio,13356
2018,Q1,January,01,Ontario,Kingston,Newspapers,Community Newspaper,24118
2021,Q1,February,02,British Columbia,Vancouver - Victoria,Newspapers,Dailies,102427
2019,Q4,November,11,Ontario,Kenora,Linear Television,Specialty TV,3720
2019,Q4,November,11,Saskatchewan,Saskatoon,Out of Home,Billboards,42643
2020,Q3,August,08,National,National,Out of Home,Other,1412
2019,Q3,July,07,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Conventional TV,18012
2020,Q1,February,02,Alberta,Edmonton,Radio,Other,19546
2018,Q4,December,12,Ontario,Pembroke - Petawawa,Linear Television,Conventional TV,0
2022,Q4,November,11,Quebec,Trois -Rivieres - Shawinigan,Linear Television,Conventional TV,38327
2018,Q4,December,12,Quebec,Montreal - Laval,Out of Home,Other,454930
2023,Q2,April,04,Alberta,Red Deer,Linear Television,Specialty TV,882
2023,Q3,August,08,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Newspapers,Community Newspaper,1669
2021,Q4,December,12,Ontario,Kingston,Radio,Spot Radio,156760
2020,Q2,April,04,British Columbia,Dawson Creek,Linear Television,Spot TV,8811
2021,Q3,August,08,Ontario,Windsor,Radio,Spot Radio,469010
2018,Q2,June,06,Prince Edward Island,Charlottetown,Linear Television,Specialty TV,23264
2020,Q1,February,02,Ontario,Sudbury - Timmins - North Bay,Out of Home,Stadiums & Arenas,9500
2019,Q4,October,10,Ontario,Peterborough - Belleville - Trenton,Linear Television,Conventional TV,181691
2018,Q1,January,01,Ontario,Kingston,Linear Television,Conventional TV,185834
2019,Q1,March,03,Ontario,Peterborough - Belleville - Trenton,Linear Television,Specialty TV,44317
2021,Q4,December,12,British Columbia,Dawson Creek,Linear Television,Spot TV,2651
2020,Q4,November,11,Manitoba,Winnipeg - Brandon,Newspapers,Dailies,132295
2018,Q3,September,09,Ontario,Kenora,Linear Television,Conventional TV,4472
2018,Q3,September,09,British Columbia,Prince George,Radio,Spot Radio,103565
2018,Q4,December,12,Quebec,Quebec City - Levis,Linear Television,Conventional TV,597382
2020,Q4,October,10,National,National,Magazines,Newspaper Magazines,118029
2019,Q1,March,03,Quebec,Riviere Du Loup,Linear Television,Specialty TV,22215
2020,Q4,October,10,Alberta,Medicine Hat,Radio,Spot Radio,135200
2022,Q1,February,02,Quebec,Montreal - Laval,Newspapers,Community Newspaper,82562
2020,Q1,February,02,National,National,Linear Television,Conventional TV,54403761
2020,Q1,March,03,National,National,Linear Television,Conventional TV,60629624
2022,Q3,September,09,Ontario,Thunder Bay,Linear Television,Conventional TV,20763
2023,Q1,January,01,National,National,Digital,Print - Digital,3024705
2018,Q1,January,01,Multi-Market,Ottawa - Gatineau,Newspapers,Community Newspaper,111883
2019,Q1,February,02,Alberta,Edmonton,Out of Home,Other,964
2018,Q2,May,05,Alberta,Red Deer,Newspapers,Community Newspaper,35105
2019,Q2,May,05,Alberta,Calgary - Lethbridge,Radio,Spot Radio,2517941
2018,Q4,October,10,New Brunswick,St. John - Fredericton - Moncton,Radio,Spot Radio,423760
2022,Q3,July,07,Alberta,Edmonton,Newspapers,Community Newspaper,9604
2020,Q3,August,08,National,National,Radio,Network Radio,10000
2022,Q2,May,05,Multi-Market,Multi-Market,Out of Home,Billboards,18211067
2022,Q4,November,11,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Linear Television,Conventional TV,380154
2023,Q3,August,08,Nova Scotia,Halifax - Dartmouth,Linear Television,Specialty TV,46618
2021,Q1,February,02,Ontario,Kingston,Linear Television,Conventional TV,107142
2019,Q2,June,06,Alberta,Lloydminster,Linear Television,Conventional TV,5232
2018,Q3,September,09,Quebec,Saguenay,Linear Television,Conventional TV,226651
2021,Q3,September,09,Quebec,Quebec City - Levis,Linear Television,Conventional TV,225661
2020,Q1,March,03,Manitoba,Winnipeg - Brandon,Newspapers,Community Newspaper,1176
2019,Q1,February,02,Quebec,Montreal - Laval,Linear Television,Specialty TV,2115954
2020,Q4,October,10,Ontario,Toronto - Hamilton - Niagara Falls,Radio,Spot Radio,7925753
2022,Q4,December,12,Quebec,Montreal - Laval,Magazines,Trade Magazines,17370
2020,Q1,January,01,National,National,Other,Direct Mail,357
2021,Q2,April,04,Alberta,Medicine Hat,Radio,Spot Radio,72738
2021,Q1,March,03,Quebec,Montreal - Laval,Newspapers,Dailies,315378
2019,Q2,April,04,Newfoundland and Labrador,St. Johns - Corner Brook,Radio,Spot Radio,333458
2021,Q4,November,11,Ontario,Peterborough - Belleville - Trenton,Radio,Spot Radio,218352
2023,Q2,May,05,National,National,Newspapers,Business Journals,5055
2019,Q3,July,07,Ontario,Toronto - Hamilton - Niagara Falls,Newspapers,Community Newspaper,546218
2018,Q1,March,03,Quebec,Chaleur Bay - Carleton,Linear Television,Conventional TV,57510
2018,Q2,April,04,Alberta,Calgary - Lethbridge,Magazines,Trade Magazines,1042
2022,Q3,September,09,Yukon,Whitehorse,Radio,Spot Radio,10490
2020,Q1,January,01,Saskatchewan,Yorkton,Linear Television,Specialty TV,5091
2018,Q4,October,10,Alberta,Calgary - Lethbridge,Newspapers,Dailies,411686
2021,Q1,March,03,Multi-Market,Multi-Market,Out of Home,Street Furniture/Retail,389585
2019,Q1,January,01,New Brunswick,St. John - Fredericton - Moncton,Out of Home,Billboards,3819
2018,Q3,September,09,Northwest Territories,Yellowknife,Radio,Spot Radio,26253
2019,Q2,June,06,Saskatchewan,Swift Current,Linear Television,Specialty TV,46
2018,Q1,March,03,Ontario,Kenora,Newspapers,Community Newspaper,19008
2022,Q2,April,04,Quebec,Saguenay,Linear Television,Spot TV,9141
2022,Q4,October,10,Manitoba,Winnipeg - Brandon,Newspapers,Community Newspaper,1566
2020,Q2,May,05,Ontario,Toronto - Hamilton - Niagara Falls,Linear Television,Specialty TV,2534912
2022,Q1,January,01,Saskatchewan,Prince Albert,Linear Television,Specialty TV,340
2018,Q3,July,07,Alberta,Calgary - Lethbridge,Linear Television,Spot TV,2289695
2019,Q3,July,07,Ontario,Thunder Bay,Linear Television,Conventional TV,53382
2023,Q3,August,08,Alberta,Medicine Hat,Linear Television,Conventional TV,1156
2020,Q2,June,06,Ontario,Barrie - Orillia,Radio,Spot Radio,256180
2018,Q4,October,10,British Columbia,Kelowna - Okanagan Valley - Kamloops,Newspapers,Other,2500
2020,Q3,September,09,National,National,Newspapers,Dailies,953270
2020,Q3,September,09,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Spot TV,121213
2020,Q4,December,12,New Brunswick,St. John - Fredericton - Moncton,Linear Television,Conventional TV,192181
2022,Q2,June,06,National,National,Digital,Mobile Ad Network/Ad Exchange,1292723
2020,Q4,November,11,Nova Scotia,Halifax - Dartmouth,Linear Television,Spot TV,114655
2021,Q1,March,03,Nova Scotia,Sydney - Glace Bay,Newspapers,Community Newspaper,2619
2020,Q2,April,04,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Spot TV,9574
2020,Q1,February,02,Quebec,Chaleur Bay - Carleton,Linear Television,Spot TV,199
2021,Q4,November,11,Multi-Market,Multi-Market,Magazines,Consumer Magazines,11659
2018,Q2,June,06,Ontario,Kingston,Linear Television,Spot TV,40114
2020,Q1,January,01,National,National,Linear Television,Specialty TV,52769243
2021,Q1,January,01,Nova Scotia,Halifax - Dartmouth,Digital,Print - Digital,0
2018,Q2,April,04,Alberta,Edmonton,Magazines,Newspaper Magazines,39600
2022,Q1,January,01,Ontario,London - Woodstock - Wingham,Radio,Spot Radio,316257
2020,Q1,March,03,Ontario,Sudbury - Timmins - North Bay,Radio,Spot Radio,545448
2022,Q4,December,12,Alberta,Edmonton,Newspapers,Community Newspaper,5324
2020,Q1,January,01,Ontario,Windsor,Linear Television,Conventional TV,46309
2019,Q4,December,12,Ontario,Barrie - Orillia,Radio,Spot Radio,506075
2018,Q3,August,08,Alberta,Calgary - Lethbridge,Linear Television,Conventional TV,1364919
2018,Q1,February,02,Ontario,Windsor,Linear Television,Specialty TV,47363
2023,Q2,April,04,Ontario,London - Woodstock - Wingham,Linear Television,Specialty TV,25718
2018,Q2,April,04,Nova Scotia,Sydney - Glace Bay,Radio,Spot Radio,97289
2021,Q3,August,08,Ontario,Kingston,Newspapers,Community Newspaper,12482
2018,Q1,February,02,Ontario,Thunder Bay,Linear Television,Conventional TV,111489
2022,Q3,August,08,Quebec,Riviere Du Loup,Radio,Spot Radio,21219
2019,Q3,September,09,Ontario,Windsor,Linear Television,Specialty TV,43488
2019,Q1,March,03,Ontario,Kingston,Radio,Spot Radio,259391
2023,Q2,April,04,Alberta,Edmonton,Linear Television,Conventional TV,378429
2023,Q1,January,01,Manitoba,Winnipeg - Brandon,Digital,Pure Play - Content,309
2018,Q4,November,11,Ontario,Barrie - Orillia,Out of Home,Billboards,5654
2022,Q3,August,08,Ontario,Barrie - Orillia,Out of Home,Billboards,2558
2021,Q4,December,12,Quebec,Trois -Rivieres - Shawinigan,Linear Television,Conventional TV,54823
2018,Q2,April,04,Ontario,Windsor,Linear Television,Specialty TV,62261
2019,Q1,March,03,Ontario,Windsor,Newspapers,Dailies,83774
2023,Q2,June,06,Quebec,Quebec City - Levis,Linear Television,Specialty TV,33609
2020,Q2,May,05,Multi-Market,Multi-Market,Out of Home,Street Furniture/Retail,67960
2018,Q1,March,03,National,National,Magazines,Newspaper Magazines,114336
2023,Q3,August,08,Ontario,Pembroke - Petawawa,Newspapers,Community Newspaper,1172
2019,Q2,June,06,Multi-Market,Multi-Market,Out of Home,Ad Sales House,691856
2022,Q3,August,08,Ontario,Sudbury - Timmins - North Bay,Newspapers,Community Newspaper,5487
2018,Q4,October,10,National,National,Newspapers,Community Newspaper,116698
2022,Q4,October,10,Ontario,Kenora,Linear Television,Conventional TV,0
2022,Q2,April,04,Quebec,Quebec City - Levis,Magazines,Consumer Magazines,52356
2018,Q3,August,08,Quebec,Quebec City - Levis,Newspapers,Dailies,88594
2020,Q4,October,10,New Brunswick,St. John - Fredericton - Moncton,Linear Television,Conventional TV,204648
2023,Q1,March,03,Alberta,Calgary - Lethbridge,Linear Television,Conventional TV,177102
2020,Q1,March,03,British Columbia,Prince George,Linear Television,Conventional TV,35897
2019,Q3,September,09,Ontario,Kingston,Linear Television,Specialty TV,48626
2018,Q4,December,12,Quebec,Rouyn - Noranda - Val D'Or,Linear Television,Spot TV,12689
2022,Q2,May,05,British Columbia,Vancouver - Victoria,Linear Television,Specialty TV,785422
2020,Q2,April,04,Ontario,Kenora,Linear Television,Conventional TV,6
2020,Q4,November,11,Multi-Market,Ottawa - Gatineau,Radio,Other,82073
2018,Q3,September,09,British Columbia,Kelowna - Okanagan Valley - Kamloops,Newspapers,Community Newspaper,19819
2019,Q2,June,06,Ontario,London - Woodstock - Wingham,Linear Television,Specialty TV,166842
2023,Q1,March,03,British Columbia,Prince George,Newspapers,Dailies,17084
2020,Q1,February,02,New Brunswick,St. John - Fredericton - Moncton,Radio,Spot Radio,182427
2019,Q3,July,07,Ontario,London - Woodstock - Wingham,Newspapers,Community Newspaper,39736
